Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Time (s) Run #12,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11,Position (m) Run #12
-1.1800000000000002,-1.8000000000000003,-2.08,-1.6800000000000002,-0.58,-0.86,-1.1800000000000002,-0.7200000000000001,-1.1400000000000001,-0.84,,,,,,,,,,
-1.1600000000000001,-1.7800000000000002,-2.06,-1.6600000000000001,-0.5599999999999999,-0.84,-1.1600000000000001,-0.7000000000000001,-1.12,-0.82,,,,,,,,,,
-1.1400000000000001,-1.7600000000000002,-2.04,-1.6400000000000001,-0.5399999999999999,-0.82,-1.1400000000000001,-0.68,-1.1,-0.7999999999999999,,,,,,,,,,
-1.12,-1.7400000000000002,-2.02,-1.62,-0.5199999999999999,-0.7999999999999999,-1.12,-0.66,-1.08,-0.7799999999999999,,,,,,,,,,
-1.1,-1.7200000000000002,-2.0,-1.6,-0.4999999999999999,-0.7799999999999999,-1.1,-0.64,-1.06,-0.7599999999999999,,,,,,,,,,
-1.08,-1.7000000000000002,-1.98,-1.58,-0.48,-0.76,-1.08,-0.6200000000000001,-1.04,-0.74,,,,,,,,,,
-1.06,-1.6800000000000002,-1.96,-1.56,-0.45999999999999996,-0.74,-1.06,-0.6000000000000001,-1.02,-0.72,,,,,,,,,,
-1.04,-1.6600000000000001,-1.94,-1.54,-0.43999999999999995,-0.72,-1.04,-0.5800000000000001,-1.0,-0.7,,,,,,,,,,
-1.02,-1.6400000000000001,-1.92,-1.52,-0.41999999999999993,-0.7,-1.02,-0.56,-0.98,-0.6799999999999999,,,,,,,,,,
-1.0,-1.62,-1.9,-1.5,-0.3999999999999999,-0.6799999999999999,-1.0,-0.54,-0.96,-0.6599999999999999,,,,,,,,,,
-0.98,-1.6,-1.88,-1.48,-0.3799999999999999,-0.6599999999999999,-0.98,-0.52,-0.94,-0.6399999999999999,,,,,,,,,,
-0.96,-1.58,-1.8599999999999999,-1.46,-0.3599999999999999,-0.6399999999999999,-0.96,-0.5,-0.9199999999999999,-0.6199999999999999,,,,,,,,,,
-0.94,-1.56,-1.8399999999999999,-1.44,-0.33999999999999986,-0.6199999999999999,-0.94,-0.48,-0.8999999999999999,-0.5999999999999999,,,,,,,,,,
-0.9199999999999999,-1.54,-1.8199999999999998,-1.42,-0.31999999999999984,-0.5999999999999999,-0.9199999999999999,-0.45999999999999996,-0.8799999999999999,-0.5799999999999998,,,,,,,,,,
-0.8999999999999999,-1.52,-1.7999999999999998,-1.4,-0.2999999999999998,-0.5799999999999998,-0.8999999999999999,-0.43999999999999995,-0.8599999999999999,-0.5599999999999998,,,,,,,,,,
-0.8800000000000001,-1.5000000000000002,-1.78,-1.3800000000000001,-0.28,-0.56,-0.8800000000000001,-0.42000000000000015,-0.8400000000000001,-0.54,,,,,,,,,,
-0.8600000000000001,-1.4800000000000002,-1.76,-1.36,-0.26,-0.54,-0.8600000000000001,-0.40000000000000013,-0.8200000000000001,-0.52,,,,,,,,,,
-0.8400000000000001,-1.4600000000000002,-1.74,-1.34,-0.24,-0.52,-0.8400000000000001,-0.3800000000000001,-0.8,-0.5,,,,,,,,,,
-0.8200000000000001,-1.4400000000000002,-1.72,-1.32,-0.21999999999999997,-0.5,-0.8200000000000001,-0.3600000000000001,-0.78,-0.48,,,,,,,,,,
-0.8,-1.4200000000000002,-1.7,-1.3,-0.19999999999999996,-0.48,-0.8,-0.3400000000000001,-0.76,-0.45999999999999996,,,,,,,,,,
