Time (s) Run #13,Time (s) Run #14,Time (s) Run #15,Time (s) Run #16,Time (s) Run #17,Time (s) Run #18,Time (s) Run #19,Time (s) Run #20,Time (s) Run #21,Time (s) Run #22,Time (s) Run #24,Position (m) Run #13,Position (m) Run #14,Position (m) Run #15,Position (m) Run #16,Position (m) Run #17,Position (m) Run #18,Position (m) Run #19,Position (m) Run #20,Position (m) Run #21,Position (m) Run #22,Position (m) Run #24
0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.55,0.53,0.64,0.55,0.39,0.57,0.51,0.56,0.56,0.55,0.31
0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.53,0.5,0.62,0.53,0.37,0.55,0.49,0.54,0.53,0.52,0.29
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.51,0.48,0.6,0.51,0.35,0.53,0.47,0.52,0.51,0.5,0.27
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.49,0.46,0.58,0.49,0.34,0.51,0.45,0.5,0.49,0.48,0.25
0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.47,0.44,0.56,0.47,0.32,0.49,0.44,0.47,0.47,0.46,0.23
0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.44,0.42,0.54,0.45,0.3,0.47,0.42,0.45,0.45,0.44,0.21
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.42,0.4,0.52,0.43,0.28,0.46,0.4,0.43,0.42,0.42,0.18
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.38,0.5,0.41,0.26,0.44,0.38,0.41,0.4,0.4,
0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.38,0.36,0.48,0.4,0.24,0.42,0.36,0.39,0.38,0.38,
0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.36,0.34,0.46,0.38,0.22,0.4,0.34,0.37,0.36,0.36,
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.34,0.32,0.44,,0.2,0.38,0.32,0.35,0.34,0.34,
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.32,0.3,0.42,,,0.37,0.3,0.33,0.32,0.31,
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.29,0.28,0.4,,,0.35,0.28,0.31,0.29,0.29,
0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.27,0.26,0.38,,,0.33,0.26,0.28,0.27,0.27,
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.25,,,,,0.31,0.24,0.26,0.25,0.25,
0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.23,,,,,0.29,0.22,0.24,0.23,,
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,,0.27,0.2,0.22,0.21,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.18,0.2,,,
1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,,,,,,,,0.18,,,
