"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
1.420,0.98,-0.01,1.70,1.420,0.97,-0.02,1.40,1.420,0.98,0.01,0.04,1.420,0.99,-0.19,-3.41,1.420,0.94,-1.02,-5.55,1.420,0.98,0.00,0.28,1.420,0.96,-0.01,0.71,1.420,0.99,-0.53,-3.72,1.420,0.92,0.05,0.64,1.420,0.94,0.11,8.25
1.440,0.98,0.00,1.11,1.440,0.97,0.02,1.63,1.440,0.98,0.02,0.19,1.440,0.98,-0.17,1.00,1.440,0.91,-1.11,-4.72,1.440,0.98,0.00,-1.45,1.440,0.96,0.00,0.40,1.440,0.97,-0.58,-0.59,1.440,0.92,0.04,-0.47,1.440,0.94,0.40,4.09
1.460,0.98,0.02,1.50,1.460,0.97,0.05,1.16,1.460,0.98,0.02,-0.30,1.460,0.98,-0.09,3.79,1.460,0.89,-1.19,-4.32,1.460,0.98,0.04,-4.72,1.460,0.96,0.01,-0.02,1.460,0.98,-0.47,-1.07,1.460,0.92,0.02,-0.92,1.460,0.97,0.43,-5.69
1.480,0.98,0.06,2.14,1.480,0.97,0.07,0.27,1.480,0.98,0.03,-1.46,1.480,0.98,-0.01,4.58,1.480,0.87,-1.28,-4.35,1.480,0.98,-0.20,-5.49,1.480,0.96,-2.27E-4,-0.30,1.480,0.96,-0.56,-3.30,1.480,0.92,0.00,-0.86,1.480,0.97,0.06,-10.87
1.500,0.98,0.12,2.07,1.500,0.97,0.06,-0.58,1.500,0.98,-0.03,-2.22,1.500,0.98,0.10,3.82,1.500,0.84,-1.37,-4.44,1.500,0.98,-0.36,-1.03,1.500,0.96,-0.01,-0.19,1.500,0.95,-0.68,-5.52,1.500,0.92,-0.02,-0.51,1.500,0.96,-0.23,-8.08
1.520,0.98,0.17,0.95,1.520,0.97,0.04,-1.01,1.520,0.98,-0.11,-1.11,1.520,0.98,0.19,1.36,1.520,0.81,-1.46,-4.41,1.520,0.95,-0.26,5.03,1.520,0.96,-0.02,0.32,1.520,0.93,-0.76,-5.96,1.520,0.92,-0.03,-0.06,1.520,0.95,-0.24,-3.10
1.540,0.99,0.16,-0.79,1.540,0.97,0.01,-0.92,1.540,0.98,-0.11,1.80,1.540,0.99,0.18,-1.81,1.540,0.78,-1.54,-4.27,1.540,0.96,-0.03,4.51,1.540,0.96,2.80E-4,0.96,1.540,0.92,-0.92,-5.50,1.540,0.92,-0.02,0.34,1.540,0.96,-0.24,-2.16
1.560,0.99,0.13,-2.41,1.560,0.97,-4.19E-4,-0.57,1.560,0.98,-0.03,3.88,1.560,0.99,0.08,-3.19,1.560,0.75,-1.63,-4.07,1.560,0.96,0.07,-1.32,1.560,0.96,0.03,1.34,1.560,0.90,-1.03,-4.02,1.560,0.92,-0.01,0.45,1.560,0.94,-0.31,-3.38
1.580,0.99,0.06,-3.55,1.580,0.97,-0.01,-0.35,1.580,0.98,0.10,3.29,1.580,0.99,-0.01,-2.49,1.580,0.72,-1.71,-3.88,1.580,0.96,-0.15,-6.78,1.580,0.97,0.06,1.12,1.580,0.87,-1.08,-2.32,1.580,0.92,0.00,0.18,1.580,0.94,-0.43,-3.59
1.600,0.99,-0.02,-3.96,1.600,0.97,-0.01,-0.46,1.600,0.98,0.14,0.66,1.600,0.99,-0.01,-1.34,1.600,0.68,-1.78,-3.74,1.600,0.96,-0.30,-8.62,1.600,0.97,0.08,0.31,1.600,0.85,-1.09,-1.93,1.600,0.92,0.00,-0.12,1.600,0.93,-0.46,-2.73
1.620,0.99,-0.11,-3.00,1.620,0.97,-0.02,-0.78,1.620,0.99,0.11,-1.61,1.620,0.99,-0.03,-0.92,1.620,0.65,-1.86,-3.66,1.620,0.95,-0.47,-8.14,1.620,0.97,0.08,-0.83,1.620,0.83,-1.13,-2.53,1.620,0.92,-0.01,-0.08,1.620,0.92,-0.52,-1.95
1.640,0.99,-0.17,-0.82,1.640,0.97,-0.04,-0.85,1.640,0.99,0.04,-1.96,1.640,0.99,-0.06,-0.93,1.640,0.61,-1.93,-3.58,1.640,0.94,-0.64,-7.46,1.640,0.97,0.05,-1.77,1.640,0.81,-1.20,-3.24,1.640,0.92,-0.01,0.25,1.640,0.91,-0.54,-1.79
1.660,0.98,-0.15,1.47,1.660,0.97,-0.07,-0.30,1.660,0.99,0.01,-1.15,1.660,0.99,-0.07,-0.68,1.660,0.57,-2.00,-3.43,1.660,0.92,-0.78,-6.25,1.660,0.97,0.00,-2.15,1.660,0.78,-1.27,-3.28,1.660,0.92,0.01,0.58,1.660,0.90,-0.58,-1.63
1.680,0.98,-0.09,4.07,1.680,0.97,-0.06,0.52,1.680,0.99,0.01,-0.63,1.680,0.99,-0.08,-0.47,1.680,0.53,-2.07,-3.17,1.680,0.91,-0.88,-5.06,1.680,0.97,-0.05,-1.96,1.680,0.76,-1.34,-2.73,1.680,0.92,0.02,0.66,1.680,0.89,-0.61,-1.43
1.700,0.98,-0.02,6.84,1.700,0.97,-0.04,0.92,1.700,0.99,0.01,-1.14,1.700,0.99,-0.09,-0.10,1.700,0.49,-2.13,-2.87,1.700,0.89,-0.98,-4.19,1.700,0.97,-0.08,-1.26,1.700,0.73,-1.38,-2.14,1.700,0.92,0.03,0.61,1.700,0.87,-0.64,-0.85
1.720,0.98,0.19,7.87,1.720,0.97,-0.01,0.70,1.720,0.99,-0.03,-1.85,1.720,0.98,-0.10,0.70,1.720,0.44,-2.18,-2.68,1.720,0.87,-1.05,-3.77,1.720,0.97,-0.11,-0.27,1.720,0.70,-1.42,-1.82,1.720,0.92,0.04,0.39,1.720,0.86,-0.65,-0.27
1.740,0.98,0.39,2.73,1.740,0.97,-0.01,0.27,1.740,0.99,-0.09,-1.51,1.740,0.98,-0.07,1.65,1.740,0.40,-2.23,-2.64,1.740,0.84,-1.11,-3.98,1.740,0.96,-0.10,1.19,1.740,0.67,-1.46,-1.75,1.740,0.92,0.05,-0.83,1.740,0.85,-0.64,-0.11
1.760,1.00,0.44,-5.66,1.760,0.97,-0.01,0.04,1.760,0.98,-0.12,0.19,1.760,0.98,-0.02,2.00,1.760,0.35,-2.29,-2.67,1.760,0.82,-1.20,-4.72,1.760,0.96,-0.07,3.09,1.760,0.64,-1.49,-1.67,1.760,0.92,0.04,-2.61,1.760,0.83,-0.65,-0.33
1.780,1.00,0.06,-8.96,1.780,0.97,-0.01,0.06,1.780,0.98,-0.09,2.22,1.780,0.98,0.03,1.55,1.780,0.31,-2.34,-1.80,1.780,0.80,-1.31,-5.17,1.780,0.96,0.02,5.24,1.780,0.61,-1.52,-1.62,1.780,0.93,-0.07,-3.50,1.780,0.82,-0.66,-0.62
1.800,1.01,-0.15,-5.38,1.800,0.97,-0.01,0.15,1.800,0.98,-0.01,3.16,1.800,0.98,0.04,0.88,1.800,0.26,-2.39,3.70,1.800,0.77,-1.42,-4.96,1.800,0.96,0.15,4.56,1.800,0.58,-1.55,-1.63,1.800,0.93,-0.15,-2.74,1.800,0.81,-0.67,-0.80
1.820,0.98,-0.09,-1.49,1.820,0.97,0.00,0.18,1.820,0.98,0.07,2.44,1.820,0.98,0.06,0.41,1.820,0.21,-2.34,7.01,1.820,0.74,-1.51,-4.50,1.820,0.97,0.32,-0.18,1.820,0.55,-1.59,-1.64,1.820,0.92,-0.17,-1.70,1.820,0.79,-0.69,-0.92
1.840,1.01,-0.06,-3.91,1.840,0.97,0.00,0.11,1.840,0.98,0.11,0.62,1.840,0.98,0.06,-0.07,1.840,0.16,-1.84,2.59,1.840,0.71,-1.59,-4.18,1.840,0.97,0.18,-5.03,1.840,0.52,-1.62,-1.54,1.840,0.92,-0.18,-2.53,1.840,0.78,-0.71,-0.96
1.860,1.00,-0.21,-7.35,1.860,0.97,0.00,0.02,1.860,0.99,0.09,-1.02,1.860,0.99,0.06,-0.81,1.860,0.12,-2.05,-2.21,1.860,0.68,-1.68,-3.90,1.860,0.99,-0.04,-5.60,1.860,0.49,-1.65,-1.30,1.860,0.91,-0.24,-4.36,1.860,0.77,-0.73,-0.88
1.880,0.99,-0.50,-7.80,1.880,0.97,0.00,-0.02,1.880,0.99,0.04,-1.56,1.880,0.99,0.03,-1.69,1.880,0.13,-2.37,6.42,1.880,0.64,-1.75,-3.48,1.880,0.96,-0.10,-2.80,1.880,0.45,-1.67,-1.06,1.880,0.91,-0.38,-5.43,1.880,0.75,-0.75,-0.71
1.900,0.97,-0.53,-6.85,1.900,0.97,0.00,0.02,1.900,0.99,0.01,-1.38,1.900,0.99,-0.01,-2.41,1.900,0.00,-2.08,432.65,1.900,0.61,-1.82,-3.09,1.900,0.97,-0.07,-3.36,1.900,0.42,-1.69,-0.99,1.900,0.90,-0.49,-5.10,1.900,0.74,-0.76,-0.58
1.920,0.97,-0.67,-7.33,1.920,0.97,0.00,0.05,1.920,0.99,6.33E-4,-1.41,1.920,0.99,-0.07,-2.37,1.920,0.00,-1.05,846.07,1.920,0.57,-1.87,-2.91,1.920,0.98,-0.12,-7.03,1.920,0.39,-1.71,-1.06,1.920,0.89,-0.58,-3.94,1.920,0.72,-0.77,-0.58
1.940,0.95,-0.86,-8.50,1.940,0.97,0.00,0.03,1.940,0.99,-0.03,-1.76,1.940,0.99,-0.13,-1.31,1.940,0.00,48.54,430.52,1.940,0.53,-1.93,-2.80,1.940,0.97,-0.42,-9.04,1.940,0.35,-1.73,-1.07,1.940,0.87,-0.65,-3.01,1.940,0.71,-0.78,-0.67
1.960,0.93,-1.05,-7.90,1.960,0.97,0.00,-0.02,1.960,0.99,-0.09,-1.51,1.960,0.98,-0.14,0.37,1.960,0.00,48.54,-800.29,1.960,0.49,-1.99,-2.72,1.960,0.96,-0.59,-7.42,1.960,0.32,-1.76,-0.92,1.960,0.86,-0.69,-2.34,1.960,0.69,-0.80,-0.73
1.980,0.91,-1.18,-6.79,1.980,0.97,0.00,-0.06,1.980,0.98,-0.12,-0.15,1.980,0.98,-0.10,1.71,1.980,5.82,0.00,-1618.02,1.980,0.45,-2.04,-2.81,1.980,0.94,-0.68,-4.73,1.980,0.28,-1.77,-0.77,1.980,0.85,-0.74,-1.98,1.980,0.67,-0.81,-0.68
2.000,0.88,-1.30,-6.06,2.000,0.97,0.00,-0.06,2.000,0.98,-0.09,1.29,2.000,0.98,-0.05,2.07,2.000,0.00,-48.54,-626.76,2.000,0.41,-2.09,-3.02,2.000,0.93,-0.75,-3.86,2.000,0.25,-1.78,0.93,2.000,0.83,-0.78,-1.84,2.000,0.66,-0.82,-0.60
2.020,0.86,-1.42,-5.83,2.020,0.97,0.00,-0.04,2.020,0.98,-0.04,1.67,2.020,0.98,-0.01,1.62,2.020,0.00,-48.54,950.64,2.020,0.37,-2.16,-3.07,2.020,0.91,-0.83,-3.95,2.020,0.21,-1.80,6.95,2.020,0.82,-0.81,-1.73,2.020,0.64,-0.83,-0.51
2.040,0.83,-1.53,-5.70,2.040,0.97,0.00,-0.01,2.040,0.98,-0.01,1.19,2.040,0.98,0.02,0.79,2.040,0.00,21.87,1557.85,2.040,0.32,-2.23,-2.82,2.040,0.90,-0.91,-4.14,2.040,0.17,-1.62,15.14,2.040,0.80,-0.85,-1.53,2.040,0.62,-0.84,-0.41
2.060,0.80,-1.65,-5.66,2.060,0.97,-2.02E-4,0.05,2.060,0.98,0.00,0.61,2.060,0.98,0.02,0.25,2.060,0.00,43.67,758.30,2.060,0.28,-2.27,-0.23,2.060,0.88,-1.00,-4.04,2.060,0.14,-1.10,193.49,2.060,0.78,-0.88,-1.11,2.060,0.61,-0.85,-0.27
2.080,0.76,-1.76,-5.55,2.080,0.97,8.28E-4,0.13,2.080,0.98,0.01,0.23,2.080,0.98,0.01,0.34,2.080,2.62,46.19,-482.94,2.080,0.23,-2.32,8.18,2.080,0.86,-1.08,-3.70,2.080,0.12,-0.66,538.59,2.080,0.76,-0.89,-0.63,2.080,0.59,-0.85,-0.11
2.100,0.72,-1.87,-5.29,2.100,0.97,0.00,0.23,2.100,0.98,0.01,0.10,2.100,0.98,0.03,0.91,2.100,2.62,18.13,-1002.42,2.100,0.19,-2.09,12.68,2.100,0.83,-1.14,-3.58,2.100,0.13,20.46,706.85,2.100,0.75,-0.90,-0.19,2.100,0.57,-0.85,-0.05
2.120,0.69,-1.97,-4.94,2.120,0.97,0.01,0.30,2.120,0.98,0.00,0.40,2.120,0.98,0.05,1.56,2.120,2.93,-10.55,-888.49,2.120,0.14,-1.42,4.93,2.120,0.81,-1.21,-3.99,2.120,0.10,41.45,417.23,2.120,0.73,-0.90,-0.45,2.120,0.56,-0.85,-0.07
2.140,0.65,-2.07,-4.59,2.140,0.97,0.02,0.30,2.140,0.98,0.02,0.77,2.140,0.98,0.09,1.88,2.140,1.87,-19.88,-380.17,2.140,0.12,-1.65,-6.10,2.140,0.79,-1.30,-4.20,2.140,2.61,41.61,-340.17,2.140,0.71,-0.89,-2.33,2.140,0.54,-0.86,-0.11
2.160,0.60,-2.16,-4.35,2.160,0.97,0.02,0.22,2.160,0.98,0.05,0.11,2.160,0.98,0.13,1.54,2.160,2.10,-22.41,48.94,2.160,0.13,-2.17,-0.43,2.160,0.76,-1.40,-3.65,2.160,2.61,28.26,-1001.51,2.160,0.69,-0.95,-5.43,2.160,0.52,-0.86,-0.10
2.180,0.56,-2.24,-4.18,2.180,0.97,0.03,0.27,2.180,0.98,0.05,-1.69,2.180,0.99,0.17,0.32,2.180,1.06,-15.63,275.77,2.180,0.00,-2.08,207.18,2.180,0.73,-1.45,-2.72,2.180,2.61,-7.17,-1054.49,2.180,0.67,-1.13,-7.14,2.180,0.50,-0.86,-0.07
2.200,0.51,-2.32,-4.12,2.200,0.97,0.03,0.56,2.200,0.98,-0.02,-2.92,2.200,0.99,0.16,-1.28,2.200,1.06,-8.93,312.41,2.200,0.00,-1.05,586.26,2.200,0.70,-1.49,-2.18,2.200,3.50,-29.96,-485.40,2.200,0.65,-1.31,-5.24,2.200,0.49,-0.86,-0.13
2.220,0.47,-2.40,-4.11,2.220,0.97,0.05,0.74,2.220,0.98,-0.11,-2.21,2.220,0.99,0.11,-2.25,2.220,1.04,-0.27,200.07,2.220,0.00,22.09,758.33,2.220,0.67,-1.53,-2.20,2.220,0.87,-26.71,243.93,2.220,0.62,-1.38,-1.10,2.220,0.47,-0.86,-0.24
2.240,0.42,-2.49,-4.07,2.240,0.97,0.07,0.43,2.240,0.98,-0.13,0.10,2.240,0.99,0.05,-1.90,2.240,1.04,-0.28,72.14,2.240,0.00,44.02,186.26,2.240,0.64,-1.58,-2.17,2.240,0.76,-10.44,426.54,2.240,0.59,-1.32,1.96,2.240,0.45,-0.87,-0.30
2.260,0.37,-2.57,-3.96,2.260,0.97,0.07,-0.23,2.260,0.97,-0.10,2.42,2.260,0.99,0.01,-2.04,2.260,1.04,-0.27,0.79,2.260,2.65,43.86,,2.260,0.61,-1.63,-1.99,2.260,2.14,2.59,160.45,2.260,0.57,-1.25,2.43,2.260,0.43,-0.88,-0.31
2.280,0.31,-2.65,-1.51,2.280,0.98,0.05,-0.59,2.280,0.97,-0.02,3.47,2.280,0.99,0.02,-3.88,2.280,1.03,-0.27,2.54,2.280,2.63,-0.47,,2.280,0.57,-1.66,-2.02,2.280,0.97,-8.07,-16.02,2.280,0.54,-1.21,1.30,2.280,0.42,-0.88,-0.37
2.300,0.26,-2.72,7.46,2.300,0.98,0.04,-0.47,2.300,0.97,0.07,2.70,2.300,0.99,-0.12,-4.54,2.300,1.02,-0.18,3.56,2.300,2.63,,,2.300,0.54,-1.70,-2.39,2.300,0.97,-9.83,49.02,2.300,0.52,-1.20,0.12,2.300,0.40,-0.89,-0.50
2.320,0.21,-2.52,13.82,2.320,0.98,0.04,-0.22,2.320,0.98,0.12,0.42,2.320,1.00,-0.29,-2.05,2.320,1.02,-0.06,2.36,,,,,2.320,0.51,-1.76,-2.67,2.320,0.96,0.05,156.56,2.320,0.49,-1.22,-0.51,2.320,0.38,-0.90,-0.57
2.340,0.15,-1.80,8.79,2.340,0.98,0.03,-0.18,2.340,0.98,0.09,-2.00,2.340,0.98,-0.22,1.25,2.340,1.02,-0.05,-0.09,,,,,2.340,0.47,-1.82,-2.38,2.340,0.97,0.35,89.11,2.340,0.47,-1.23,-0.65,2.340,0.36,-0.92,-0.50
2.360,0.12,-1.91,-0.39,2.360,0.98,0.03,0.01,2.360,0.98,0.01,-3.13,2.360,0.98,-0.12,0.26,2.360,1.02,-0.12,-0.79,,,,,2.360,0.43,-1.86,-1.93,2.360,0.98,0.54,1.03,2.360,0.44,-1.24,-0.61,2.360,0.34,-0.93,-0.37
2.380,0.13,-2.28,4.67,2.380,0.98,0.02,0.35,2.380,0.98,-0.07,-2.48,2.380,0.99,-0.13,-4.51,2.380,1.02,-0.14,0.40,,,,,2.380,0.40,-1.88,-1.74,2.380,1.00,0.38,-4.85,2.380,0.42,-1.25,-0.70,2.380,0.33,-0.93,-0.27
2.400,0.00,-2.09,97.54,2.400,0.98,0.05,-0.18,2.400,0.98,-0.10,-1.11,2.400,0.97,-0.34,-7.93,2.400,1.01,-0.07,3.87,,,,,2.400,0.36,-1.92,-1.73,2.400,1.00,0.14,-3.78,2.400,0.39,-1.27,-0.94,2.400,0.31,-0.94,-0.26
2.420,0.00,-1.06,250.82,2.420,0.98,0.05,-1.95,2.420,0.98,-0.10,0.07,2.420,0.97,-0.54,-8.82,2.420,1.02,-0.05,7.99,,,,,2.420,0.32,-1.96,-1.63,2.420,0.99,0.16,1.23,2.420,0.37,-1.29,-1.02,2.420,0.29,-0.94,-0.32
2.440,0.00,8.58,310.09,2.440,0.98,-0.03,-3.48,2.440,0.97,-0.09,0.49,2.440,0.96,-0.67,-8.15,2.440,1.01,0.26,8.01,,,,,2.440,0.28,-1.99,-0.88,2.440,1.00,0.31,,2.440,0.34,-1.32,-0.81,2.440,0.27,-0.95,-0.36
2.460,0.00,17.15,175.07,2.460,0.98,-0.14,-2.00,2.460,0.97,-0.07,0.37,2.460,0.94,-0.87,-7.23,2.460,1.01,0.49,0.32,,,,,2.460,0.24,-2.01,3.19,2.460,1.01,0.37,,2.460,0.32,-1.33,-0.46,2.460,0.25,-0.96,-0.30
2.480,1.03,16.91,-62.78,2.480,0.97,-0.18,1.31,2.480,0.97,-0.07,0.23,2.480,0.92,-0.99,-6.21,2.480,1.05,0.35,-9.21,,,,,2.480,0.20,-1.98,10.30,2.480,1.01,,,2.480,0.29,-1.33,-0.23,2.480,0.23,-0.96,0.03
2.500,1.03,11.62,-171.96,2.500,0.97,-0.04,1.41,2.500,0.97,-0.07,0.43,2.500,0.90,-1.08,-5.30,2.500,1.04,-0.10,-10.87,,,,,2.500,0.16,-1.59,192.31,,,,,2.500,0.26,-1.33,-0.23,2.500,0.21,-0.96,0.54
2.520,1.00,6.58,-150.78,2.520,0.97,0.03,-4.43,2.520,0.97,-0.06,1.00,2.520,0.88,-1.20,-5.10,2.520,1.03,-0.26,-4.24,,,,,2.520,0.12,-1.17,545.52,,,,,2.520,0.24,-1.34,-0.29,2.520,0.19,-0.94,1.41
2.540,1.42,6.85,-116.35,2.540,0.98,-0.17,-12.46,2.540,0.97,-0.03,1.25,2.540,0.85,-1.30,-4.88,2.540,1.02,-0.21,0.40,,,,,2.540,0.12,20.26,719.70,,,,,2.540,0.21,-1.35,1.21,2.540,0.17,-0.91,3.48
2.560,1.42,3.59,-124.64,2.560,0.97,-0.57,-15.89,2.560,0.97,0.00,1.17,2.560,0.82,-1.39,-4.57,2.560,1.04,-0.05,-2.27,,,,,2.560,0.09,41.63,368.39,,,,,2.560,0.18,-1.35,6.27,2.560,0.16,-0.84,7.23
2.580,1.43,0.65,-155.68,2.580,0.95,-0.93,-13.48,2.580,0.97,0.01,1.14,2.580,0.80,-1.48,-4.51,2.580,1.00,-0.26,-5.09,,,,,2.580,2.62,41.97,-336.45,,,,,2.580,0.15,-1.17,13.66,2.580,0.14,-0.64,10.52
2.600,1.43,-2.18,-145.66,2.600,0.93,-1.12,-9.18,2.600,0.97,0.04,1.44,2.600,0.77,-1.57,-4.52,2.600,1.04,-0.48,-2.66,,,,,2.600,2.62,21.33,-695.44,,,,,2.600,0.13,-0.76,17.20,2.600,0.13,-0.34,70.75
2.620,1.50,-6.07,-83.93,2.620,0.91,-1.24,-6.57,2.620,0.97,0.07,1.89,2.620,0.73,-1.66,-4.46,2.620,0.99,-0.39,4.96,,,,,2.620,2.63,0.20,-529.31,,,,,2.620,0.12,-0.30,85.87,2.620,0.13,-0.15,187.94
2.640,1.09,-7.18,27.02,2.640,0.88,-1.36,-5.93,2.640,0.97,0.12,0.70,2.640,0.70,-1.75,-4.33,2.640,0.99,-0.24,7.96,,,,,2.640,2.64,-0.05,-181.89,,,,,2.640,0.12,-0.16,396.53,2.640,0.13,7.16,244.60
2.660,1.03,-4.42,104.88,2.660,0.85,-1.48,-5.79,2.660,0.97,0.16,-2.10,2.660,0.66,-1.83,-4.22,2.660,1.00,0.09,4.74,,,,,2.660,2.62,-0.17,-2.67,,,,,2.660,0.12,8.53,600.78,2.660,0.12,14.41,121.98
2.680,1.03,-0.58,95.57,2.680,0.82,-1.59,-5.66,2.680,0.98,0.03,-3.34,2.680,0.63,-1.92,-4.18,2.680,1.00,-0.01,1.66,,,,,2.680,2.62,-0.13,96.02,,,,,2.680,0.11,37.99,231.19,2.680,0.99,14.45,-120.86
2.700,1.03,-0.08,41.02,2.700,0.79,-1.70,-5.50,2.700,0.98,-0.10,-0.88,2.700,0.59,-2.00,-4.12,2.700,1.00,-0.05,2.61,,,,,2.700,2.63,-0.04,29.65,,,,,2.700,1.16,33.64,-569.28,2.700,0.99,7.20,-242.71
2.720,1.03,-0.05,5.16,2.720,0.75,-1.81,-5.30,2.720,0.97,-0.03,2.34,2.720,0.55,-2.08,-3.92,2.720,1.00,0.10,4.77,,,,,2.720,2.62,11.35,-390.25,,,,,2.720,3.64,2.47,-963.99,2.720,0.99,-0.13,-182.21
2.740,1.03,-0.03,1.04,2.740,0.72,-1.92,-5.09,2.740,0.97,0.12,0.72,2.740,0.50,-2.16,-3.51,2.740,1.00,0.29,1.37,,,,,2.740,2.62,-8.09,-1191.22,,,,,2.740,0.62,-24.27,-443.98,2.740,0.99,-0.13,-59.80
2.760,1.03,-0.01,0.74,2.760,0.68,-2.02,-4.92,2.760,0.98,0.10,-4.89,2.760,0.46,-2.22,-3.07,2.760,1.01,0.22,-3.33,,,,,2.760,3.99,-38.91,,,,,,2.760,0.94,-19.78,202.44,2.760,0.98,-0.09,1.89
2.780,1.03,0.00,0.45,2.780,0.64,-2.11,-4.79,2.780,0.98,-0.14,-9.68,2.780,0.41,-2.28,-2.86,2.780,1.02,0.00,-3.37,,,,,2.780,0.29,-92.73,,,,,,2.780,0.95,2.62,365.20,2.780,0.98,-0.02,1.60
2.800,1.03,0.01,-0.04,2.800,0.59,-2.21,-4.58,2.800,0.97,-0.36,-11.61,2.800,0.37,-2.33,-2.88,2.800,1.00,0.00,-0.28,,,,,2.800,0.28,,,,,,,2.800,0.94,-0.12,142.03,2.800,0.98,-0.01,0.64
2.820,1.03,0.01,-0.92,2.820,0.55,-2.30,-4.30,2.820,0.97,-0.58,-11.56,2.820,0.32,-2.39,-2.64,2.820,1.00,0.11,-0.42,,,,,,,,,,,,,2.820,0.94,-0.11,-20.91,2.820,0.98,-0.02,-0.06
2.840,1.03,-0.02,-1.86,2.840,0.50,-2.38,-4.04,2.840,0.95,-0.85,-10.03,2.840,0.27,-2.45,1.65,2.840,1.02,0.07,-3.94,,,,,,,,,,,,,2.840,0.94,-0.01,1.97,2.840,0.98,-0.02,-0.22
2.860,1.03,-0.08,-1.86,2.860,0.45,-2.46,-3.87,2.860,0.93,-1.04,-7.22,2.860,0.22,-2.47,10.97,2.860,1.01,-0.13,-4.83,,,,,,,,,,,,,2.860,0.94,0.01,1.31,2.860,0.98,-0.03,0.04
2.880,1.02,-0.13,-0.26,2.880,0.40,-2.53,-3.83,2.880,0.91,-1.11,-3.43,2.880,0.17,-2.06,252.63,2.880,1.01,-0.24,0.08,,,,,,,,,,,,,2.880,0.94,0.01,,2.880,0.98,-0.03,0.64
2.900,1.02,-0.11,1.86,2.900,0.35,-2.61,-3.78,2.900,0.89,-1.19,-1.13,2.900,0.12,-1.48,554.61,2.900,1.00,-0.16,5.88,,,,,,,,,,,,,2.900,0.94,0.03,,2.900,0.98,8.38E-6,1.23
2.920,1.02,-0.03,2.72,2.920,0.30,-2.69,0.05,2.920,0.86,-1.11,-1.21,2.920,0.12,26.86,450.05,2.920,1.00,0.11,5.56,,,,,,,,,,,,,2.920,0.94,,,2.920,0.98,0.03,0.85
2.940,1.02,0.04,1.92,2.940,0.24,-2.76,3.14,2.940,0.83,-1.17,-4.50,2.940,0.09,35.16,-187.31,2.940,1.00,0.23,-0.61,,,,,,,,,,,,,,,,,2.940,0.98,0.06,-0.95
2.960,1.02,0.05,0.67,2.960,0.19,-2.38,2.19,2.960,0.83,-1.27,-9.71,2.960,3.43,15.31,-788.77,2.960,1.03,0.05,-5.33,,,,,,,,,,,,,,,,,2.960,0.98,0.01,-2.50
2.980,1.02,0.05,-0.12,2.980,0.13,-2.54,3.10,2.980,0.78,-1.57,-11.96,2.980,1.04,-12.40,-590.04,2.980,1.00,-0.17,-1.73,,,,,,,,,,,,,,,,,2.980,0.99,-0.10,-3.38
3.000,1.02,0.05,-0.97,3.000,0.13,-2.64,14.60,3.000,0.76,-1.88,-10.39,3.000,1.01,-20.23,-24.62,3.000,1.00,-0.13,5.23,,,,,,,,,,,,,,,,,3.000,0.98,-0.11,-2.54
3.020,1.02,0.03,-2.28,3.020,0.00,-2.13,130.94,3.020,0.71,-2.00,-5.50,3.020,1.02,-0.11,272.53,3.020,1.01,0.20,11.90,,,,,,,,,,,,,,,,,3.020,0.97,-0.22,-0.41
3.040,1.03,-0.05,-2.80,3.040,0.00,-1.04,327.44,3.040,0.67,-2.09,-1.95,3.040,1.02,0.06,169.50,3.040,1.01,0.31,19.21,,,,,,,,,,,,,,,,,3.040,0.98,-0.17,1.56
3.060,1.02,-0.13,-1.23,3.060,0.00,11.57,407.21,3.060,0.63,-2.02,-1.46,3.060,1.02,0.01,0.08,3.060,1.02,0.82,22.01,,,,,,,,,,,,,,,,,3.060,0.96,-0.09,3.21
3.080,1.02,-0.13,0.99,3.080,0.00,22.95,193.96,3.080,0.59,-2.09,-2.66,3.080,1.02,0.00,-1.09,3.080,1.02,1.55,8.83,,,,,,,,,,,,,,,,,3.080,0.97,-0.05,2.85
3.100,1.02,-0.04,1.35,3.100,1.39,22.74,-198.54,3.100,0.55,-2.17,-3.92,3.100,1.02,-0.03,-0.93,3.100,1.09,1.60,5.60,,,,,,,,,,,,,,,,,3.100,0.97,0.05,2.38
