"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
0.320,0.98,-0.29,1.32,0.320,0.97,0.03,-0.24,0.320,0.98,-0.04,-2.93,0.320,0.95,-0.11,0.94,0.320,0.99,-0.05,-1.06,0.320,0.98,0.00,-0.04,0.320,0.99,0.10,-4.36,0.320,0.96,-0.05,0.91,0.320,0.94,-0.12,-1.10,0.320,0.94,0.00,-0.02
0.340,0.98,-0.18,4.52,0.340,0.97,0.03,-0.36,0.340,0.98,-0.13,-1.26,0.340,0.95,-0.09,2.12,0.340,0.99,-0.09,-0.15,0.340,0.98,0.00,-0.01,0.340,0.99,-0.02,-5.95,0.340,0.96,0.01,-1.81,0.340,0.94,-0.13,1.58,0.340,0.94,1.97E-4,-0.08
0.360,0.98,-0.02,3.92,0.360,0.97,0.01,-0.35,0.360,0.97,-0.11,1.55,0.360,0.95,0.00,2.48,0.360,0.99,-0.08,1.25,0.360,0.98,0.00,0.00,0.360,0.99,-0.10,-7.53,0.360,0.97,-0.17,-3.18,0.360,0.93,-0.03,2.60,0.360,0.94,0.00,-0.04
0.380,0.98,0.00,1.84,0.380,0.97,0.01,-0.47,0.380,0.97,-0.03,2.87,0.380,0.95,0.05,1.50,0.380,0.99,-0.02,2.12,0.380,0.98,0.00,0.00,0.380,0.99,-0.31,-7.66,0.380,0.95,-0.28,1.03,0.380,0.93,0.05,0.70,0.380,0.94,0.00,0.01
0.400,0.98,0.00,0.47,0.400,0.97,0.01,-0.89,0.400,0.97,0.04,2.08,0.400,0.95,0.05,0.33,0.400,0.99,0.03,1.62,0.400,0.98,0.00,0.00,0.400,0.98,-0.51,-3.79,0.400,0.95,-0.14,6.63,0.400,0.94,0.01,-2.08,0.400,0.94,0.00,0.03
0.420,0.98,0.01,0.26,0.420,0.97,-0.02,-1.36,0.420,0.98,0.07,0.41,0.420,0.95,0.04,0.24,0.420,0.99,0.06,0.14,0.420,0.98,0.00,0.00,0.420,0.96,-0.53,3.25,0.420,0.95,0.11,8.52,0.420,0.94,-0.09,-2.73,0.420,0.94,-1.97E-4,0.05
0.440,0.98,0.02,0.10,0.440,0.97,-0.06,-1.15,0.440,0.98,0.05,-0.76,0.440,0.95,0.05,0.79,0.440,0.99,0.04,-1.38,0.440,0.98,0.00,-0.01,0.440,0.95,-0.34,7.69,0.440,0.96,0.24,6.91,0.440,0.93,-0.14,-1.01,0.440,0.94,0.00,0.05
0.460,0.98,0.01,-0.08,0.460,0.97,-0.09,-0.11,0.460,0.98,0.01,-0.87,0.460,0.95,0.08,0.58,0.460,0.99,-0.01,-1.90,0.460,0.98,2.03E-4,-0.03,0.460,0.95,-0.09,6.89,0.460,0.96,0.36,4.22,0.460,0.93,-0.12,0.86,0.460,0.94,0.00,0.03
0.480,0.98,0.01,-0.25,0.480,0.97,-0.07,1.05,0.480,0.98,0.00,-0.40,0.480,0.95,0.10,-0.89,0.480,0.99,-0.06,-1.14,0.480,0.98,0.00,-0.05,0.480,0.95,-0.03,3.25,0.480,0.97,0.43,0.64,0.480,0.93,-0.07,1.49,0.480,0.94,0.00,-0.02
0.500,0.98,0.01,-0.49,0.500,0.97,-0.03,1.42,0.500,0.98,0.01,-0.14,0.500,0.96,0.06,-2.34,0.500,0.99,-0.07,0.20,0.500,0.98,0.00,-0.03,0.500,0.95,-0.02,0.60,0.500,0.98,0.42,-4.08,0.500,0.93,-0.05,1.11,0.500,0.94,0.00,-0.05
