,Time (s) Run #13,Time (s) Run #14,Time (s) Run #15,Time (s) Run #16,Time (s) Run #17,Time (s) Run #18,Time (s) Run #19,Time (s) Run #20,Time (s) Run #21,Time (s) Run #22,Time (s) Run #24,Position (m) Run #13,Position (m) Run #14,Position (m) Run #15,Position (m) Run #16,Position (m) Run #17,Position (m) Run #18,Position (m) Run #19,Position (m) Run #20,Position (m) Run #21,Position (m) Run #22,Position (m) Run #24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.1,1.18,1.09,0.99,1.1,1.04,1.1,1.09,1.1,0.87
1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.1,1.09,1.17,1.08,0.97,1.08,1.02,1.09,1.08,1.09,0.85
2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.09,1.08,1.16,1.06,0.95,1.07,1.01,1.08,1.07,1.08,0.84
3,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.08,1.06,1.15,1.05,0.94,1.06,1.0,1.06,1.06,1.07,0.83
4,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.06,1.05,1.14,1.04,0.92,1.04,0.99,1.05,1.05,1.06,0.82
5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.05,1.04,1.13,1.03,0.9,1.03,0.97,1.04,1.04,1.04,0.8
6,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,1.04,1.02,1.12,1.02,0.89,1.02,0.96,1.03,1.03,1.03,0.79
7,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.02,1.01,1.1,1.01,0.87,1.0,0.94,1.02,1.01,1.02,0.77
8,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.01,0.99,1.09,0.99,0.85,0.99,0.93,1.0,1.0,1.0,0.76
9,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.99,0.98,1.08,0.97,0.84,0.98,0.91,0.99,0.99,0.99,0.75
10,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.98,0.96,1.06,0.96,0.82,0.96,0.9,0.97,0.97,0.98,0.73
11,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.96,0.94,1.05,0.96,0.8,0.94,0.89,0.96,0.96,0.96,0.72
12,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.95,0.92,1.03,0.94,0.79,0.93,0.87,0.94,0.94,0.95,0.7
13,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.25999999999999995,0.93,0.91,1.01,0.92,0.77,0.91,0.86,0.92,0.93,0.93,0.68
14,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.27999999999999997,0.91,0.89,1.0,0.9,0.75,0.9,0.84,0.91,0.91,0.92,0.67
15,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.87,0.98,0.88,0.73,0.88,0.82,0.89,0.89,0.9,0.65
16,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.88,0.85,0.96,0.87,0.71,0.86,0.81,0.87,0.88,0.88,0.64
17,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.86,0.83,0.95,0.85,0.69,0.85,0.79,0.86,0.86,0.86,0.62
18,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.84,0.82,0.93,0.83,0.68,0.83,0.78,0.84,0.84,0.85,0.6
19,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.38000000000000006,0.83,0.8,0.91,0.81,0.66,0.81,0.76,0.82,0.83,0.83,0.59
20,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.81,0.78,0.89,0.79,0.64,0.8,0.74,0.8,0.81,0.81,0.57
21,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.4200000000000001,0.79,0.76,0.88,0.78,0.62,0.78,0.73,0.79,0.79,0.79,0.55
22,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.77,0.74,0.86,0.76,0.6,0.76,0.71,0.77,0.77,0.78,0.53
23,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.46000000000000013,0.76,0.72,0.84,0.74,0.58,0.75,0.69,0.75,0.76,0.76,0.51
24,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.48000000000000015,0.73,0.7,0.82,0.72,0.56,0.73,0.67,0.73,0.74,0.73,0.49
25,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.71,0.68,0.8,0.7,0.54,0.71,0.66,0.71,0.72,0.71,0.47
26,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.5200000000000001,0.69,0.66,0.78,0.68,0.53,0.69,0.64,0.69,0.7,0.69,0.45
27,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.5400000000000001,0.67,0.64,0.76,0.66,0.51,0.68,0.62,0.67,0.68,0.67,0.43
28,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.5600000000000002,0.65,0.62,0.74,0.64,0.49,0.66,0.6,0.65,0.66,0.65,0.41
29,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.5800000000000002,0.63,0.61,0.72,0.63,0.47,0.64,0.59,0.64,0.64,0.63,0.39
30,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.6000000000000002,0.61,0.59,0.7,0.61,0.45,0.62,0.57,0.62,0.62,0.61,0.37
31,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.6200000000000002,0.59,0.57,0.68,0.59,0.43,0.6,0.55,0.6,0.6,0.59,0.35
32,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.57,0.55,0.66,0.57,0.41,0.58,0.53,0.58,0.58,0.57,0.33
33,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.55,0.53,0.64,0.55,0.39,0.57,0.51,0.56,0.56,0.55,0.31
34,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.6800000000000003,0.53,0.5,0.62,0.53,0.37,0.55,0.49,0.54,0.53,0.52,0.29
35,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.7000000000000003,0.51,0.48,0.6,0.51,0.35,0.53,0.47,0.52,0.51,0.5,0.27
36,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.7200000000000003,0.49,0.46,0.58,0.49,0.34,0.51,0.45,0.5,0.49,0.48,0.25
37,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.7400000000000003,0.47,0.44,0.56,0.47,0.32,0.49,0.44,0.47,0.47,0.46,0.23
38,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.7600000000000003,0.44,0.42,0.54,0.45,0.3,0.47,0.42,0.45,0.45,0.44,0.21
39,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.7800000000000004,0.42,0.4,0.52,0.43,0.28,0.46,0.4,0.43,0.42,0.42,0.18
40,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.8000000000000004,0.4,0.38,0.5,0.41,0.26,0.44,0.38,0.41,0.4,0.4,
41,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.8200000000000004,0.38,0.36,0.48,0.4,0.24,0.42,0.36,0.39,0.38,0.38,
42,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.8400000000000004,0.36,0.34,0.46,0.38,0.22,0.4,0.34,0.37,0.36,0.36,
43,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.8600000000000004,0.34,0.32,0.44,,0.2,0.38,0.32,0.35,0.34,0.34,
44,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.32,0.3,0.42,,,0.37,0.3,0.33,0.32,0.31,
45,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.9000000000000005,0.29,0.28,0.4,,,0.35,0.28,0.31,0.29,0.29,
46,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.9200000000000005,0.27,0.26,0.38,,,0.33,0.26,0.28,0.27,0.27,
47,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.9400000000000005,0.25,,,,,0.31,0.24,0.26,0.25,0.25,
48,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.9600000000000005,0.23,,,,,0.29,0.22,0.24,0.23,,
49,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,0.9800000000000005,,,,,,0.27,0.2,0.22,0.21,,
50,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,,,,,,,0.18,0.2,,,
51,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,1.0200000000000005,,,,,,,,0.18,,,
