Time (s) Run #13,Position (m) Run #13,Velocity (m/s) Run #13,Acceleration (m/s²) Run #13,Time (s) Run #14,Position (m) Run #14,Velocity (m/s) Run #14,Acceleration (m/s²) Run #14,Time (s) Run #15,Position (m) Run #15,Velocity (m/s) Run #15,Acceleration (m/s²) Run #15,Time (s) Run #16,Position (m) Run #16,Velocity (m/s) Run #16,Acceleration (m/s²) Run #16,Time (s) Run #17,Position (m) Run #17,Velocity (m/s) Run #17,Acceleration (m/s²) Run #17,Time (s) Run #18,Position (m) Run #18,Velocity (m/s) Run #18,Acceleration (m/s²) Run #18,Time (s) Run #19,Position (m) Run #19,Velocity (m/s) Run #19,Acceleration (m/s²) Run #19,Time (s) Run #20,Position (m) Run #20,Velocity (m/s) Run #20,Acceleration (m/s²) Run #20,Time (s) Run #21,Position (m) Run #21,Velocity (m/s) Run #21,Acceleration (m/s²) Run #21,Time (s) Run #22,Position (m) Run #22,Velocity (m/s) Run #22,Acceleration (m/s²) Run #22,Time (s) Run #24,Position (m) Run #24,Velocity (m/s) Run #24,Acceleration (m/s²) Run #24
1.36,1.13,-0.11,0.14,1.36,0.89,-0.9,-0.33,1.36,1.14,-0.12,2.04,1.36,0.76,-0.94,-0.06,1.36,1.08,0.09,1.63,1.36,0.71,-0.88,-0.32,1.36,0.82,-0.77,-0.05,1.36,0.79,-0.86,-0.94,1.36,0.62,-1.01,-0.96,1.36,0.38,-1.04,0.11,1.36,0.53,-1.02,0.77
1.38,1.11,-0.06,-1.37,1.38,0.87,-0.91,-0.37,1.38,1.13,-0.15,9.08,1.38,0.74,-0.93,0.06,1.38,1.08,0.13,0.79,1.38,0.69,-0.89,-0.34,1.38,0.81,-0.76,-0.68,1.38,0.77,-0.89,-1.76,1.38,0.6,-1.03,-1.25,1.38,0.36,-1.04,0.14,1.38,0.51,-0.98,1
1.4,1.13,-0.15,-4.07,1.4,0.85,-0.91,-0.32,1.4,1.13,0.46,5.92,1.4,0.72,-0.93,-0.18,1.4,1.09,0.13,-0.95,1.4,0.68,-0.89,-0.31,1.4,0.79,-0.79,-1.22,1.4,0.75,-0.94,-1.74,1.4,0.58,-1.06,-1.32,1.4,0.34,-1.04,0.2,1.4,0.49,-0.97,0.25
1.42,1.11,-0.24,-5.66,1.42,0.83,-0.92,-0.35,1.42,1.13,0.5,-6.76,1.42,0.7,-0.94,-0.33,1.42,1.09,0.09,-2.5,1.42,0.66,-0.9,-0.23,1.42,0.78,-0.83,-1.29,1.42,0.73,-0.98,-0.98,1.42,0.56,-1.09,-1.03,1.42,0.31,-1.03,0.13,1.42,0.47,-0.98,-0.08
1.44,1.11,-0.42,-5.41,1.44,0.82,-0.92,-0.43,1.44,1.2,-0.06,-15.77,1.44,0.68,-0.95,-0.27,1.44,1.09,0.01,-2.95,1.44,0.64,-0.9,-0.13,1.44,0.76,-0.85,-0.86,1.44,0.71,-0.98,-0.2,1.44,0.53,-1.11,-0.46,1.44,0.29,-1.03,-0.11,1.44,0.45,-0.99,0.08
1.46,1.1,-0.47,-4.38,1.46,0.8,-0.94,-0.43,1.46,1.13,-0.44,-9.35,1.46,0.66,-0.95,-0.17,1.46,1.09,-0.05,-2.13,1.46,0.62,-0.91,-0.06,1.46,0.74,-0.86,-0.38,1.46,0.69,-0.97,0.12,1.46,0.51,-1.11,0.1,1.46,0.27,-1.03,-0.4,1.46,0.43,-0.98,0.18
1.48,1.09,-0.57,-3.05,1.48,0.78,-0.95,-0.32,1.48,1.13,-0.49,2.11,1.48,0.64,-0.95,-0.13,1.48,1.09,-0.08,-0.48,1.48,0.6,-0.91,-0.06,1.48,0.73,-0.86,-0.09,1.48,0.67,-0.97,0.04,1.48,0.49,-1.1,0.41,1.48,0.25,-1.05,-0.58,1.48,0.41,-0.97,-0.07
1.5,1.08,-0.62,-2.27,1.5,0.76,-0.95,-0.17,1.5,1.15,-0.19,7.67,1.5,0.63,-0.95,-0.13,1.5,1.09,-0.07,1.1,1.5,0.58,-0.91,-0.09,1.5,0.71,-0.86,0,1.5,0.65,-0.97,-0.11,1.5,0.47,-1.09,0.45,1.5,0.23,-1.06,-0.49,1.5,0.39,-0.98,-0.46
1.52,1.06,-0.64,-1.45,1.52,0.74,-0.95,-0.13,1.52,1.12,-0.06,5.78,1.52,0.61,-0.96,-0.11,1.52,1.09,-0.02,1.83,1.52,0.57,-0.91,-0.13,1.52,0.69,-0.86,-0.09,1.52,0.64,-0.98,-0.25,1.52,0.45,-1.08,0.32,1.52,0.21,-1.07,-0.22,1.52,0.37,-0.99,-0.71
1.54,1.05,-0.67,-1.15,1.54,0.72,-0.95,-0.16,1.54,1.11,0.05,-1.47,1.54,0.59,-0.96,-0.1,1.54,1.09,0.02,1.55,1.54,0.55,-0.91,-0.14,1.54,0.67,-0.86,-0.24,1.54,0.62,-0.98,-0.33,1.54,0.42,-1.08,0.07,1.54,0.19,-1.07,0.37,1.54,0.35,-1.01,-0.79
1.56,1.04,-0.69,-1.09,1.56,0.7,-0.96,-0.2,1.56,1.15,-0.03,-6.64,1.56,0.57,-0.96,-0.15,1.56,1.09,0.04,0.87,1.56,0.53,-0.92,-0.15,1.56,0.66,-0.87,-0.37,1.56,0.6,-0.99,-0.37,1.56,0.4,-1.08,-0.18,1.56,0.17,-1.07,71.49,1.56,0.33,-1.03,-0.7
1.58,1.02,-0.71,-1.05,1.58,0.68,-0.96,-0.23,1.58,1.12,-0.39,-4.16,1.58,0.55,-0.96,-0.2,1.58,1.09,0.05,0.39,1.58,0.51,-0.92,-0.13,1.58,0.64,-0.88,-0.45,1.58,0.58,-1,-0.37,1.58,0.38,-1.09,-0.26,1.58,0.15,-1.02,213.99,1.58,0.31,-1.04,-0.35
1.6,1.01,-0.73,-1.01,1.6,0.66,-0.97,-0.26,1.6,1.11,-0.42,2.9,1.6,0.53,-0.97,-0.15,1.6,1.09,0.05,-0.18,1.6,0.49,-0.92,-0.1,1.6,0.62,-0.89,-0.49,1.6,0.56,-1,-0.31,1.6,0.36,-1.09,-0.16,1.6,0.12,7.46,288.04,1.6,0.29,-1.04,0.02
1.62,0.99,-0.75,-0.99,1.62,0.64,-0.97,-0.31,1.62,1.11,-0.07,6.95,1.62,0.51,-0.97,-0.07,1.62,1.09,0.06,-0.75,1.62,0.47,-0.92,-0.01,1.62,0.6,-0.9,-0.51,1.62,0.54,-1.01,-0.31,1.62,0.34,-1.09,-0.04,1.62,0.11,16.08,151.85,1.62,0.27,-1.03,0.14
1.64,0.98,-0.77,-0.99,1.64,0.62,-0.98,-0.34,1.64,1.11,-0.01,6.8,1.64,0.49,-0.97,0,1.64,1.09,0.01,-0.57,1.64,0.46,-0.92,0.15,1.64,0.59,-0.91,-0.49,1.64,0.52,-1.01,-0.39,1.64,0.32,-1.09,0.01,1.64,1.1,16.39,-127.34,1.64,0.25,-1.03,-0.01
1.66,0.96,-0.79,-0.99,1.66,0.61,-0.99,-0.34,1.66,1.11,0.03,7.9,1.66,0.47,-0.97,0.13,1.66,1.09,5.77E-04,0.51,1.66,0.44,-0.92,0.27,1.66,0.57,-0.92,-0.44,1.66,0.5,-1.02,-0.53,1.66,0.29,-1.09,0.01,1.66,1.1,8.27,-271.02,1.66,0.23,-1.04,-0.17
1.68,0.95,-0.81,-0.96,1.68,0.59,-0.99,-0.35,1.68,1.11,0.3,8.76,1.68,0.45,-0.97,0.35,1.68,1.09,0.04,0.97,1.68,0.42,-0.91,0.22,1.68,0.55,-0.92,-0.39,1.68,0.47,-1.04,-0.56,1.68,0.27,-1.09,0.05,1.68,1.1,0,-206.77,1.68,0.21,-1.04,-0.06
1.7,0.93,-0.83,-0.87,1.7,0.57,-1,-0.38,1.7,1.11,0.57,2.06,1.7,0.43,-0.96,0.46,1.7,1.1,0.09,-0.56,1.7,0.4,-0.91,0,1.7,0.53,-0.93,-0.35,1.7,0.45,-1.05,-0.41,1.7,0.25,-1.09,0.11,1.7,1.1,-0.04,-71.06,1.7,0.18,-1.05,1.74
1.72,0.91,-0.85,-0.76,1.72,0.55,-1.01,-0.41,1.72,1.14,0.5,-9.58,1.72,0.41,-0.94,0.32,1.72,1.1,0.04,-2.79,1.72,0.38,-0.91,-0.19,1.72,0.51,-0.94,-0.32,1.72,0.43,-1.06,-0.22,1.72,0.23,-1.09,0.2,1.72,1.1,-0.11,-2.05,1.72,0.16,-1.03,6.31
1.74,0.9,-0.86,-0.67,1.74,0.53,-1.02,-0.4,1.74,1.15,0.08,-15.42,1.74,0.4,-0.94,0.14,1.74,1.1,-0.06,-3.54,1.74,0.37,-0.92,-0.21,1.74,0.49,-0.95,-0.25,1.74,0.41,-1.06,-0.13,1.74,0.21,-1.08,0.5,1.74,1.1,-0.15,-0.7,1.74,0.14,-0.84,11.89
1.76,0.88,-0.87,-0.6,1.76,0.5,-1.02,-0.39,1.76,1.14,-0.35,-11.02,1.76,0.38,-0.94,0.45,1.76,1.09,-0.14,-2.48,1.76,0.35,-0.92,-0.11,1.76,0.47,-0.95,-0.13,1.76,0.39,-1.06,-0.14,1.76,0.18,-1.07,2.78,1.76,1.09,-0.14,0.64,1.76,0.12,-0.49,13.07
1.78,0.86,-0.88,-0.47,1.78,0.48,-1.03,-0.37,1.78,1.13,-0.42,-2.23,1.78,0.36,-0.94,1.84,1.78,1.09,-0.16,-1.13,1.78,0.33,-0.92,-0.02,1.78,0.45,-0.95,0.01,1.78,0.37,-1.06,-0.15,1.78,0.16,-1.04,8.05,1.78,1.09,-0.1,0.96,1.78,0.12,-0.16,92.58
1.8,0.84,-0.89,-0.19,1.8,0.46,-1.04,-0.29,1.8,1.12,-0.32,3.49,1.8,0.34,-0.89,4.29,1.8,1.09,-0.16,-0.82,1.8,0.31,-0.92,0.16,1.8,0.44,-0.95,0.07,1.8,0.35,-1.07,-0.11,1.8,0.14,-0.79,12.43,1.8,1.09,-0.09,0.62,1.8,0.12,-0.14,249.85
1.82,0.83,-0.89,0.06,1.82,0.44,-1.04,-0.15,1.82,1.11,-0.22,4.57,1.82,0.32,-0.77,4.12,1.82,1.09,-0.17,-2.16,1.82,0.29,-0.92,0.48,1.82,0.42,-0.95,-0.06,1.82,0.33,-1.07,-0.06,1.82,0.12,-0.4,83.54,1.82,1.09,-0.09,0.74,1.82,0.12,9.92,365.27
1.84,0.81,-0.88,-0.14,1.84,0.42,-1.04,-0.06,1.84,1.11,-0.13,4.14,1.84,0.31,-0.59,79.65,1.84,1.08,-0.22,-3.75,1.84,0.27,-0.9,1.11,1.84,0.4,-0.95,-0.31,1.84,0.31,-1.07,0.03,1.84,0.13,-0.23,221.35,1.84,1.08,-0.07,1.64,1.84,0.11,19.41,280.87
1.86,0.79,-0.88,-1.01,1.86,0.4,-1.04,-0.03,1.86,1.11,-0.06,4.84,1.86,0.3,-0.74,236.01,1.86,1.08,-0.36,-4.78,1.86,0.25,-0.88,3.18,1.86,0.38,-0.96,-0.5,1.86,0.28,-1.07,0.13,1.86,0.13,8.42,285.09,1.86,1.08,-0.02,2.37,1.86,1.33,24.12,-0.63
1.88,0.77,-0.92,-1.94,1.88,0.38,-1.05,0.15,1.88,1.11,0.01,7.63,1.88,0.29,8.64,320.49,1.88,1.07,-0.43,-5.07,1.88,0.24,-0.83,6.95,1.88,0.36,-0.97,-0.54,1.88,0.26,-1.06,0.15,1.88,0.11,16.95,134.53,1.88,1.08,0.04,2.14,1.88,1.25,19.36,-236.35
1.9,0.76,-0.98,-1.94,1.9,0.36,-1.04,0.49,1.9,1.11,0.21,12.07,1.9,0.25,18.32,170.9,1.9,1.05,-0.54,-4.95,1.9,0.22,-0.61,6.89,1.9,0.34,-0.98,-0.51,1.9,0.24,-1.06,0.06,1.9,1.15,16.63,-154.86,1.9,1.09,0.08,1,1.9,1.88,9.89,-310.78
1.92,0.73,-1.02,-0.96,1.92,0.34,-1.02,0.74,1.92,1.11,0.51,8.73,1.92,1.39,18.8,-144.96,1.92,1.05,-0.65,-4.27,1.92,0.21,-0.33,117.54,1.92,0.32,-0.99,-0.46,1.92,0.22,-1.06,-0.04,1.92,1.14,7.7,-291.18,1.92,1.09,0.08,-0.16,1.92,1.88,5.27,-260.99
1.94,0.71,-1.02,0.05,1.94,0.32,-1.01,1.08,1.94,1.13,0.89,-5.39,1.94,1.39,9.6,-310.63,1.94,1.03,-0.73,-1.18,1.94,0.21,-0.54,345.6,1.94,0.3,-1,-0.35,1.94,0.2,-1.06,0.6,1.94,1.1,-0.91,-206.81,1.94,1.09,0.06,-0.94,1.94,1.88,0.91,-207.8
1.96,0.69,-1,0.31,1.96,0.3,-1,3.36,1.96,1.15,0.38,-20.14,1.96,1.4,-0.04,-238.73,1.96,1.02,-0.75,2.51,1.96,0.21,13.21,466.4,1.96,0.28,-1.01,-0.13,1.96,0.18,-1.06,3.45,1.96,1.09,-0.44,-56.98,1.96,1.09,0.04,-1.88,1.96,1.88,-2.98,-240.86
1.98,0.67,-1,-0.01,1.98,0.28,-0.94,7.43,1.98,1.18,-0.31,-19.58,1.98,1.39,-0.11,-81.72,1.98,1,-0.58,3.74,1.98,0.16,27.32,243.39,1.98,0.26,-1.01,0.05,1.98,0.16,-0.98,8.65,1.98,1.09,-0.04,11.21,1.98,1.09,0,-3.48,1.98,2,-6.79,-182.58
2,0.65,-1,-0.31,2,0.26,-0.68,8.68,2,1.11,-0.71,-1.01,2,1.39,-0.13,-0.83,2,0.99,-0.5,1.03,2,1.85,27.77,-220.25,2,0.24,-1,0.06,2,0.14,-0.72,13.35,2,1.09,-0.01,4.03,2,1.09,-0.09,,2,1.41,-15.92,114.44
2.02,0.63,-1.01,-0.38,2.02,0.24,-0.43,2.99,2.02,1.13,-0.37,15.9,2.02,1.39,-0.11,0.11,2.02,0.99,-0.53,-3.44,2.02,1.85,14.1,-459.15,2.02,0.22,-1,-0.04,2.02,0.12,-0.36,12.48,2.02,1.09,0,0.48,2.02,1.09,-0.23,,2.02,1.53,-8.05,
2.04,0.61,-1.02,-0.35,2.04,0.25,-0.47,-6.46,2.04,1.11,0.32,19.95,2.04,1.39,-0.14,1.07,2.04,0.97,-0.67,-5.35,2.04,1.85,0,-349.01,2.04,0.2,-1,0.19,2.04,0.12,-0.08,78,2.04,1.09,7.52E-04,0.21,2.04,1.08,,,2.04,0.43,12.01,
2.06,0.59,-1.03,-0.37,2.06,0.24,-0.8,-11.9,2.06,1.13,0.57,10.37,2.06,1.38,-0.09,1.89,2.06,0.95,-0.82,-4.17,2.06,1.85,0,-117.53,2.06,0.18,-1.01,2.24,2.06,0.12,-0.13,215.84,2.06,1.09,0,0.3,,,,,2.06,2.01,,
2.08,0.57,-1.03,-0.47,2.08,0.21,-1.09,58.26,2.08,1.15,0.75,-1.9,2.08,1.38,-0.02,1.7,2.08,0.94,-0.85,-1.84,2.08,1.85,0,-0.03,2.08,0.16,-0.97,6.85,2.08,0.12,8.4,292.91,2.08,1.09,0.01,0.49,,,,,,,,
2.1,0.55,-1.04,-0.61,2.1,0.19,-1.24,202.15,2.1,1.17,0.45,-8.76,2.1,1.38,0,0.44,2.1,0.92,-0.85,-0.28,2.1,1.85,-0.01,-0.03,2.1,0.14,-0.77,11.99,2.1,0.11,17.06,124.84,2.1,1.09,0.02,1.01,,,,,,,,
2.12,0.53,-1.06,-0.63,2.12,0.17,6.96,280.08,2.12,1.17,0.21,-8.9,2.12,1.38,-0.03,-0.26,2.12,0.9,-0.86,0.05,2.12,1.85,-0.01,0.02,2.12,0.12,-0.43,12.76,2.12,1.15,17.88,-236.06,2.12,1.09,0.04,1.3,,,,,,,,
2.14,0.51,-1.07,-0.45,2.14,0.13,15.41,151.86,2.14,1.17,0.05,-4.28,2.14,1.38,-0.04,-0.21,2.14,0.89,-0.85,0.05,2.14,1.85,-0.01,0.14,2.14,0.12,-0.12,76.32,2.14,1.15,5.37,-402.25,2.14,1.09,0.1,0.51,,,,,,,,
2.16,0.49,-1.08,-0.01,2.16,1.1,15.87,-119.26,2.16,1.17,0.08,-1.05,2.16,1.38,-0.02,-0.2,2.16,0.87,-0.85,0.06,2.16,1.85,0,0.28,2.16,0.12,-0.09,207.22,2.16,1.23,-8.24,-211.8,2.16,1.09,0.09,-1.21,,,,,,,,
2.18,0.47,-1.08,0.56,2.18,1.1,8.07,-260.81,2.18,1.17,0.07,-0.44,2.18,1.38,-0.04,-0.17,2.18,0.85,-0.85,0.14,2.18,1.85,0.01,0.3,2.18,0.12,8.06,272.57,2.18,0.67,-5.09,113.07,2.18,1.1,0.03,-2.5,,,,,,,,
2.2,0.44,-1.06,0.84,2.2,1.1,-0.01,-199.59,2.2,1.17,0.07,-1.45,2.2,1.38,-0.05,0.52,2.2,0.84,-0.84,0.18,2.2,1.85,0.02,0.12,2.2,0.11,16.27,135.02,2.2,0.64,2.93,208.58,2.2,1.1,-0.04,-1.99,,,,,,,,
2.22,0.42,-1.03,0.4,2.22,1.1,-7.45E-04,-67.29,2.22,1.17,0.01,-2.9,2.22,1.38,-0.03,1.7,2.22,0.82,-0.84,-0.08,2.22,1.85,0.01,-0.11,2.22,1.1,16.23,-139.41,2.22,1.13,7.77,50.19,2.22,1.1,-0.07,-0.7,,,,,,,,
2.24,0.4,-1.03,-0.66,2.24,1.1,-0.01,-0.04,2.24,1.18,-0.03,-4.99,2.24,1.38,0.03,2.16,2.24,0.8,-0.85,-0.5,2.24,1.85,0.01,-0.17,2.24,1.1,7.93,-275.69,2.24,1.12,3.93,-89.16,2.24,1.09,-0.04,0.16,,,,,,,,
2.26,0.38,-1.06,-1.36,2.26,1.1,-0.01,-0.05,2.26,1.17,-0.17,-7.04,2.26,1.38,0.08,1.66,2.26,0.79,-0.86,-0.86,2.26,1.85,0,-0.1,2.26,1.09,-0.34,-204.58,2.26,1.12,-0.07,-96.25,2.26,1.09,-0.05,0.51,,,,,,,,
2.28,0.36,-1.1,-1.14,2.28,1.1,-0.01,0.14,2.28,1.17,-0.35,-7.84,2.28,1.38,0.1,0.67,2.28,0.77,-0.88,-1.03,2.28,1.85,0.01,-0.08,2.28,1.08,-0.24,-65.24,2.28,1.12,0.07,-31.07,2.28,1.09,-0.04,0.55,,,,,,,,
2.3,0.34,-1.11,-0.33,2.3,1.1,0,0.27,2.3,1.15,-0.52,-5.64,2.3,1.38,0.11,-0.89,2.3,0.75,-0.91,-0.85,2.3,1.85,0,-0.14,2.3,1.08,-0.14,3.56,2.3,1.12,0.08,0.71,2.3,1.09,-0.01,3.45,,,,,,,,
2.32,0.32,-1.11,0.25,2.32,1.1,0.01,0.32,2.32,1.15,-0.63,-1.1,2.32,1.39,0.09,-0.39,2.32,0.73,-0.92,-0.43,2.32,1.85,0,-0.15,2.32,1.08,-0.09,2.55,2.32,1.12,0.05,-0.69,2.32,1.09,-0.01,10.15,,,,,,,,
2.34,0.29,-1.1,0.36,2.34,1.1,0.01,0.23,2.34,1.13,-0.57,4.35,2.34,1.39,-0.01,3.59,2.34,0.71,-0.92,-0.12,2.34,1.85,-0.01,,2.34,1.07,-0.06,1.74,2.34,1.13,0.03,-0.56,2.34,1.09,0.34,15.22,,,,,,,,
2.36,0.27,-1.09,0.39,2.36,1.1,0.02,0.01,2.36,1.12,-0.43,7.97,2.36,1.39,0.18,6.26,2.36,0.69,-0.92,-0.13,2.36,1.85,0,,2.36,1.07,-0.02,1.14,2.36,1.13,0.03,-0.02,2.36,1.09,0.83,10.95,,,,,,,,
2.38,0.25,-1.09,0.53,2.38,1.1,0.01,-0.3,2.38,1.11,-0.2,8.45,2.38,1.38,0.45,0.86,2.38,0.68,-0.93,-0.29,2.38,1.85,,,2.38,1.07,-0.01,0.53,2.38,1.13,0.03,0.25,2.38,1.13,0.97,-1.59,,,,,,,,
2.4,0.23,-1.07,0.61,2.4,1.1,0,-0.47,2.4,1.11,-0.04,6.73,2.4,1.41,0.37,-10.75,2.4,0.66,-0.94,-0.29,,,,,2.4,1.07,-0.01,0.12,2.4,1.13,0.05,0.11,2.4,1.15,0.67,-15.15,,,,,,,,
2.42,0.21,-1.06,0.68,2.42,1.1,-0.01,-0.29,2.42,1.11,0.06,4.15,2.42,1.41,-0.11,-20.54,2.42,0.64,-0.94,-0.19,,,,,2.42,1.07,0,-0.08,2.42,1.13,0.05,-0.9,2.42,1.15,0.31,-24.5,,,,,,,,
2.44,0.19,-1.05,2.26,2.44,1.1,-0.01,0.04,2.44,1.12,0.12,2.94,2.44,1.4,-0.55,23.56,2.44,0.62,-0.94,-0.11,,,,,2.44,1.07,-0.01,-0.36,2.44,1.13,0.03,-2.28,2.44,1.15,-0.33,-31.46,,,,,,,,
2.46,0.17,-1.02,5.51,2.46,1.1,0,0.21,2.46,1.12,0.13,4.1,2.46,1.38,-1.09,82.41,2.46,0.6,-0.94,-0.06,,,,,2.46,1.07,-0.02,-0.57,2.46,1.13,-0.06,-2.69,2.46,1.17,-0.97,,,,,,,,,
2.48,0.14,-0.83,80.68,2.48,1.1,0,-0.01,2.48,1.12,0.23,6.87,2.48,1.38,4.18,62.85,2.48,0.58,-0.94,-0.02,,,,,2.48,1.07,-0.04,-0.34,2.48,1.13,-0.12,-1.5,2.48,1.09,-1.83,,,,,,,,,
2.5,0.13,-0.61,224.61,2.5,1.1,0,-4.02,2.5,1.12,0.44,7.57,2.5,1.3,5.05,-52.8,2.5,0.56,-0.94,0.12,,,,,2.5,1.07,-0.04,0.43,2.5,1.12,-0.12,0.24,2.5,1.09,,,,,,,,,,
2.52,0.13,8.22,292.85,2.52,1.1,-0.02,25.33,2.52,1.14,0.64,2.82,2.52,1.98,0.85,-151.03,2.52,0.54,-0.94,0.24,,,,,2.52,1.07,-0.02,0.98,2.52,1.12,-0.08,0.95,,,,,,,,,,,,
2.54,0.11,16.88,146.2,2.54,1.1,-0.47,62.28,2.54,1.15,0.64,-5.22,2.54,1.39,-4.1,-93.74,2.54,0.53,-0.93,0.09,,,,,2.54,1.07,0.02,0.3,2.54,1.12,-0.07,0.87,,,,,,,,,,,,
2.56,1.15,16.82,-140.83,2.56,1.1,3.51,40.77,2.56,1.17,0.37,-10.94,2.56,1.4,-4.8,57.58,2.56,0.51,-0.93,-0.39,,,,,2.56,1.07,0.02,-1.58,2.56,1.12,-0.06,0.6,,,,,,,,,,,,
2.58,1.13,8.33,-282.47,2.58,1.05,3.95,-54.79,2.58,1.17,0.08,-10.09,2.58,1.39,-0.55,150.07,2.58,0.49,-0.95,-0.84,,,,,2.58,1.07,-0.05,-3.07,2.58,1.12,-0.04,0.92,,,,,,,,,,,,
2.6,1.12,-0.13,-212.73,2.6,1.58,0.46,-107.31,2.6,1.17,-0.11,-3.95,2.6,1.4,4.21,91.92,2.6,0.47,-0.97,-0.64,,,,,2.6,1.07,-0.14,-2.61,2.6,1.12,-0.04,1.02,,,,,,,,,,,,
2.62,1.13,-0.07,-75.18,2.62,1.1,-4,,2.62,1.16,-0.09,2.76,2.62,1.32,4.9,-142.04,2.62,0.45,-0.99,0.01,,,,,2.62,1.07,-0.19,-0.86,2.62,1.12,0.02,1.37,,,,,,,,,,,,
2.64,1.13,-0.31,-4.42,2.64,1.1,-1.43,,2.64,1.16,0.07,5.98,2.64,1.97,0.79,,2.64,0.43,-0.97,0.55,,,,,2.64,1.06,-0.16,0.44,2.64,1.12,-6.61E-05,1.45,,,,,,,,,,,,
2.66,1.12,-0.51,3.47,2.66,1.04,,,2.66,1.17,0.23,4.35,2.66,1.41,-14.17,,2.66,0.41,-0.95,0.59,,,,,2.66,1.06,-0.14,0.28,2.66,1.12,0.09,0.16,,,,,,,,,,,,
2.68,1.1,-0.22,10.45,,,,,2.68,1.17,0.29,0.27,2.68,1.41,,,2.68,0.39,-0.94,0.32,,,,,2.68,1.06,-0.14,2.19,2.68,1.11,0.07,-2.05,,,,,,,,,,,,
2.7,1.1,0.26,6.8,,,,,2.7,1.18,0.21,-3.13,,,,,2.7,0.37,-0.94,0.15,,,,,2.7,1.05,-0.17,5.14,2.7,1.13,-0.03,-4.14,,,,,,,,,,,,
2.72,1.12,0.18,-4.25,,,,,2.72,1.18,0.11,-1.8,,,,,2.72,0.35,-0.94,0.1,,,,,2.72,1.05,0.14,3.66,2.72,1.12,-0.13,-3.06,,,,,,,,,,,,
2.74,1.13,-0.09,-7.49,,,,,2.74,1.18,0.03,3.8,,,,,2.74,0.34,-0.94,0.08,,,,,2.74,1.05,0.2,-3.92,2.74,1.12,-0.21,0.64,,,,,,,,,,,,
2.76,1.09,-0.38,0.7,,,,,2.76,1.18,0.26,7.79,,,,,2.76,0.32,-0.93,-0.01,,,,,2.76,1.08,-0.07,-10.7,2.76,1.11,-0.12,3.41,,,,,,,,,,,,
2.78,1.12,-0.09,7.84,,,,,2.78,1.18,0.53,1.98,,,,,2.78,0.3,-0.94,-0.09,,,,,2.78,1.05,-0.43,-7.23,2.78,1.11,0.04,4.56,,,,,,,,,,,,
2.8,1.09,0.26,7.53,,,,,2.8,1.21,0.55,-12.93,,,,,2.8,0.28,-0.94,-0.05,,,,,2.8,1.04,-0.52,0.93,2.8,1.11,0.03,3.43,,,,,,,,,,,,
2.82,1.12,0.21,-2.35,,,,,2.82,1.22,-0.03,-21.83,,,,,2.82,0.26,-0.94,0.02,,,,,2.82,1.03,-0.22,5.5,2.82,1.12,0.19,-0.34,,,,,,,,,,,,
2.84,1.12,0.22,-3.75,,,,,2.84,1.22,-0.74,-14.31,,,,,2.84,0.24,-0.94,0.08,,,,,2.84,1.03,-0.17,4.37,2.84,1.1,0.14,-4.69,,,,,,,,,,,,
2.86,1.11,-0.33,-3.65,,,,,2.86,1.18,-0.8,4.18,,,,,2.86,0.22,-0.94,0.34,,,,,2.86,1.03,-0.12,1.12,2.86,1.14,-0.12,-6.86,,,,,,,,,,,,
2.88,1.13,0.35,18.49,,,,,2.88,1.16,-0.39,15.2,,,,,2.88,0.2,-0.93,0.34,,,,,2.88,1.03,-0.1,-0.98,2.88,1.11,-0.23,-3.38,,,,,,,,,,,,
2.9,1.08,-0.36,33.03,,,,,2.9,1.17,0.13,11.62,,,,,2.9,0.19,-0.9,82.66,,,,,2.9,1.03,-0.16,-3.09,2.9,1.1,-0.27,0.69,,,,,,,,,,,,
2.92,1.2,2.46,24.77,,,,,2.92,1.18,0.16,2.9,,,,,2.92,0.17,-0.93,167.75,,,,,2.92,1.02,-0.24,-3.88,2.92,1.11,-0.11,1.32,,,,,,,,,,,,
2.94,1,1.52,16.65,,,,,2.94,1.18,0.04,-1.13,,,,,2.94,0.15,8.98,90.79,,,,,2.94,1.01,-0.34,-2.82,2.94,1.1,-0.15,0.54,,,,,,,,,,,,
2.96,1.5,1.45,13.75,,,,,2.96,1.17,0.04,0.28,,,,,2.96,0.13,9.32,-83.28,,,,,2.96,1.01,-0.38,-1.37,2.96,1.09,-0.19,-0.21,,,,,,,,,,,,
2.98,0.96,2.66,31.37,,,,,2.98,1.18,0.11,-0.03,,,,,2.98,1.3,-0.25,-119.35,,,,,2.98,1,-0.36,-0.66,2.98,1.1,-0.13,-0.17,,,,,,,,,,,,
3,1.41,2.98,1.87,,,,,3,1.18,0.13,-3.72,,,,,3,0.13,-1.69,152.67,,,,,3,0.99,-0.39,-1.02,3,1.09,-0.16,-0.39,,,,,,,,,,,,
3.02,1.4,3.76,-56.81,,,,,3.02,1.18,-0.05,-7.56,,,,,3.02,0.11,5.66,368.78,,,,,3.02,0.99,-0.41,-0.84,3.02,1.09,-0.2,,,,,,,,,,,,,
3.04,1.41,0.57,-110.76,,,,,3.04,1.18,-0.25,-8.52,,,,,3.04,1.11,21.72,262.8,,,,,3.04,0.98,-0.45,,3.04,1.09,-0.16,,,,,,,,,,,,,
3.06,1.41,-1.76,-121.76,,,,,3.06,1.17,-0.42,-6.53,,,,,3.06,1,20.59,-79.39,,,,,3.06,0.97,-0.4,,3.06,1.08,,,,,,,,,,,,,,
